ES/EN,MX
"['2Corintios_7_IJSUD.txt', '2Corintios_7_esp_rva.txt', '2Corintios_7_esp_a.txt']","['2Corintios_7_xtm.txt', '2Corintios_7_mza.txt', '2Corintios_7_mxv.txt', '2Corintios_7_mpm.txt', '2Corintios_7_mks.txt', '2Corintios_7_mjc.txt', '2Corintios_7_miy.txt', '2Corintios_7_mit.txt', '2Corintios_7_mio.txt', '2Corintios_7_mih.txt', '2Corintios_7_mie.txt']"
"['2Corintios_8_IJSUD.txt', '2Corintios_8_esp_rva.txt', '2Corintios_8_esp_a.txt']","['2Corintios_8_xtm.txt', '2Corintios_8_mza.txt', '2Corintios_8_mxv.txt', '2Corintios_8_mpm.txt', '2Corintios_8_mks.txt', '2Corintios_8_mjc.txt', '2Corintios_8_miy.txt', '2Corintios_8_mit.txt', '2Corintios_8_mio.txt', '2Corintios_8_mih.txt', '2Corintios_8_mie.txt']"
"['2Corintios_9_IJSUD.txt', '2Corintios_9_esp_rva.txt', '2Corintios_9_esp_a.txt']","['2Corintios_9_xtm.txt', '2Corintios_9_mza.txt', '2Corintios_9_mxv.txt', '2Corintios_9_mpm.txt', '2Corintios_9_mks.txt', '2Corintios_9_miy.txt', '2Corintios_9_mit.txt', '2Corintios_9_mio.txt', '2Corintios_9_mih.txt', '2Corintios_9_mie.txt']"
"['2Juan_1_IJSUD.txt', '2Juan_1_esp_rva.txt', '2Juan_1_esp_a.txt']","['2Juan_1_mie.txt', '2Juan_1_xtm.txt', '2Juan_1_mza.txt', '2Juan_1_mxv.txt', '2Juan_1_mpm.txt', '2Juan_1_mks.txt', '2Juan_1_mjc.txt', '2Juan_1_miy.txt', '2Juan_1_mit.txt', '2Juan_1_mio.txt', '2Juan_1_mih.txt']"
"['2Pedro_1_IJSUD.txt', '2Pedro_1_esp_rva.txt', '2Pedro_1_esp_a.txt']","['2Pedro_1_xtm.txt', '2Pedro_1_mza.txt', '2Pedro_1_mxv.txt', '2Pedro_1_mpm.txt', '2Pedro_1_mks.txt', '2Pedro_1_mjc.txt', '2Pedro_1_miy.txt', '2Pedro_1_mit.txt', '2Pedro_1_mio.txt', '2Pedro_1_mih.txt', '2Pedro_1_mie.txt']"
"['2Pedro_2_IJSUD.txt', '2Pedro_2_esp_rva.txt', '2Pedro_2_esp_a.txt']","['2Pedro_2_xtm.txt', '2Pedro_2_mza.txt', '2Pedro_2_mxv.txt', '2Pedro_2_mpm.txt', '2Pedro_2_mks.txt', '2Pedro_2_mjc.txt', '2Pedro_2_miy.txt', '2Pedro_2_mit.txt', '2Pedro_2_mio.txt', '2Pedro_2_mih.txt', '2Pedro_2_mie.txt']"
"['2Pedro_3_IJSUD.txt', '2Pedro_3_esp_rva.txt', '2Pedro_3_esp_a.txt']","['2Pedro_3_xtm.txt', '2Pedro_3_mza.txt', '2Pedro_3_mxv.txt', '2Pedro_3_mpm.txt', '2Pedro_3_mks.txt', '2Pedro_3_mjc.txt', '2Pedro_3_miy.txt', '2Pedro_3_mit.txt', '2Pedro_3_mio.txt', '2Pedro_3_mih.txt', '2Pedro_3_mie.txt']"
"['2Tesalonicenses_1_IJSUD.txt', '2Tesalonicenses_1_esp_rva.txt', '2Tesalonicenses_1_esp_a.txt']","['2Tesalonicenses_1_xtm.txt', '2Tesalonicenses_1_mza.txt', '2Tesalonicenses_1_mxv.txt', '2Tesalonicenses_1_mpm.txt', '2Tesalonicenses_1_mks.txt', '2Tesalonicenses_1_mjc.txt', '2Tesalonicenses_1_miy.txt', '2Tesalonicenses_1_mit.txt', '2Tesalonicenses_1_mio.txt', '2Tesalonicenses_1_mih.txt', '2Tesalonicenses_1_mie.txt']"
"['2Tesalonicenses_2_IJSUD.txt', '2Tesalonicenses_2_esp_rva.txt', '2Tesalonicenses_2_esp_a.txt']","['2Tesalonicenses_2_xtm.txt', '2Tesalonicenses_2_mza.txt', '2Tesalonicenses_2_mxv.txt', '2Tesalonicenses_2_mpm.txt', '2Tesalonicenses_2_mks.txt', '2Tesalonicenses_2_mjc.txt', '2Tesalonicenses_2_miy.txt', '2Tesalonicenses_2_mit.txt', '2Tesalonicenses_2_mio.txt', '2Tesalonicenses_2_mih.txt', '2Tesalonicenses_2_mie.txt']"
"['2Tesalonicenses_3_IJSUD.txt', '2Tesalonicenses_3_esp_rva.txt', '2Tesalonicenses_3_esp_a.txt']","['2Tesalonicenses_3_xtm.txt', '2Tesalonicenses_3_mza.txt', '2Tesalonicenses_3_mxv.txt', '2Tesalonicenses_3_mpm.txt', '2Tesalonicenses_3_mks.txt', '2Tesalonicenses_3_mjc.txt', '2Tesalonicenses_3_miy.txt', '2Tesalonicenses_3_mit.txt', '2Tesalonicenses_3_mio.txt', '2Tesalonicenses_3_mih.txt', '2Tesalonicenses_3_mie.txt']"
"['2Timoteo_1_IJSUD.txt', '2Timoteo_1_esp_rva.txt', '2Timoteo_1_esp_a.txt']","['2Timoteo_1_xtm.txt', '2Timoteo_1_mza.txt', '2Timoteo_1_mxv.txt', '2Timoteo_1_mpm.txt', '2Timoteo_1_mks.txt', '2Timoteo_1_mjc.txt', '2Timoteo_1_miy.txt', '2Timoteo_1_mit.txt', '2Timoteo_1_mio.txt', '2Timoteo_1_mih.txt', '2Timoteo_1_mie.txt']"
"['2Timoteo_2_IJSUD.txt', '2Timoteo_2_esp_rva.txt', '2Timoteo_2_esp_a.txt']","['2Timoteo_2_xtm.txt', '2Timoteo_2_mza.txt', '2Timoteo_2_mxv.txt', '2Timoteo_2_mpm.txt', '2Timoteo_2_mks.txt', '2Timoteo_2_mjc.txt', '2Timoteo_2_miy.txt', '2Timoteo_2_mit.txt', '2Timoteo_2_mio.txt', '2Timoteo_2_mih.txt', '2Timoteo_2_mie.txt']"
"['2Timoteo_3_IJSUD.txt', '2Timoteo_3_esp_a.txt']","['2Timoteo_3_xtm.txt', '2Timoteo_3_mza.txt', '2Timoteo_3_mxv.txt', '2Timoteo_3_mpm.txt', '2Timoteo_3_mks.txt', '2Timoteo_3_mjc.txt', '2Timoteo_3_miy.txt', '2Timoteo_3_mit.txt', '2Timoteo_3_mio.txt', '2Timoteo_3_mih.txt', '2Timoteo_3_mie.txt']"
"['2Timoteo_4_IJSUD.txt', '2Timoteo_4_esp_rva.txt', '2Timoteo_4_esp_a.txt']","['2Timoteo_4_xtm.txt', '2Timoteo_4_mza.txt', '2Timoteo_4_mxv.txt', '2Timoteo_4_mpm.txt', '2Timoteo_4_mks.txt', '2Timoteo_4_mjc.txt', '2Timoteo_4_miy.txt', '2Timoteo_4_mit.txt', '2Timoteo_4_mio.txt', '2Timoteo_4_mih.txt', '2Timoteo_4_mie.txt']"
['2_dling_esp.txt'],['2_dling_mih.txt']
['2_dlingt_esp.txt'],['2_dlingt_mih.txt']
['2_dpe_esp.txt'],['2_dpe_mio.txt']
"['3Juan_1_IJSUD.txt', '3Juan_1_esp_rva.txt', '3Juan_1_esp_a.txt']","['3Juan_1_mie.txt', '3Juan_1_xtm.txt', '3Juan_1_mza.txt', '3Juan_1_mxv.txt', '3Juan_1_mpm.txt', '3Juan_1_mks.txt', '3Juan_1_mjc.txt', '3Juan_1_miy.txt', '3Juan_1_mit.txt', '3Juan_1_mio.txt', '3Juan_1_mih.txt']"
['3_dling_esp.txt'],['3_dling_mih.txt']
['3_dlingt_esp.txt'],['3_dlingt_mih.txt']
['3_dpe_esp.txt'],['3_dpe_mio.txt']
['4_dling_esp.txt'],['4_dling_mih.txt']
['4_dlingt_esp.txt'],['4_dlingt_mih.txt']
['4_dpe_esp.txt'],['4_dpe_mio.txt']
['5_dling_esp.txt'],['5_dling_mih.txt']
['5_dlingt_esp.txt'],['5_dlingt_mih.txt']
['5_dpe_esp.txt'],['5_dpe_mio.txt']
['6_dling_esp.txt'],['6_dling_mih.txt']
['6_dlingt_esp.txt'],['6_dlingt_mih.txt']
['6_dpe_esp.txt'],['6_dpe_mio.txt']
['7_dling_esp.txt'],['7_dling_mih.txt']
['7_dlingt_esp.txt'],['7_dlingt_mih.txt']
['7_dpe_esp.txt'],['7_dpe_mio.txt']
['8_dling_esp.txt'],['8_dling_mih.txt']
['8_dlingt_esp.txt'],['8_dlingt_mih.txt']
['8_dpe_esp.txt'],['8_dpe_mio.txt']
['9_dling_esp.txt'],['9_dling_mih.txt']
['9_dpe_esp.txt'],['9_dpe_mio.txt']
['Adivinanzas_en_mixteco_ESP.txt'],"['Adivinanzas_en_mixteco_MX_Xalpatlahuac.txt', 'Adivinanzas_en_mixteco_MX_Pinotepa.txt', 'Adivinanzas_en_mixteco_MX_Huajuapan.txt']"
['Alfabeto_Mixteco_ES.txt'],['Alfabeto_Mixteco_MX.txt']
['Algunos_dichos_y_creencias_tradicionales_de_Magdalena_Peñasco_ES.txt'],['Algunos_dichos_y_creencias_tradicionales_de_Magdalena_Peñasco_MX.txt']
['Animales_ES.txt'],['Animales_MX.txt']
['Apocalipsis_10_esp_a.txt'],"['Apocalipsis_10_xtm.txt', 'Apocalipsis_10_mza.txt', 'Apocalipsis_10_mxv.txt', 'Apocalipsis_10_mpm.txt', 'Apocalipsis_10_mks.txt', 'Apocalipsis_10_mjc.txt', 'Apocalipsis_10_miy.txt', 'Apocalipsis_10_mit.txt', 'Apocalipsis_10_mio.txt', 'Apocalipsis_10_mih.txt', 'Apocalipsis_10_mie.txt', 'Apocalipsis_10_IJSUD.txt', 'Apocalipsis_10_esp_rva.txt']"
"['Apocalipsis_11_IJSUD.txt', 'Apocalipsis_11_esp_rva.txt', 'Apocalipsis_11_esp_a.txt']","['Apocalipsis_11_xtm.txt', 'Apocalipsis_11_mza.txt', 'Apocalipsis_11_mxv.txt', 'Apocalipsis_11_mpm.txt', 'Apocalipsis_11_mks.txt', 'Apocalipsis_11_mjc.txt', 'Apocalipsis_11_miy.txt', 'Apocalipsis_11_mit.txt', 'Apocalipsis_11_mio.txt', 'Apocalipsis_11_mih.txt', 'Apocalipsis_11_mie.txt']"
"['Apocalipsis_12_IJSUD.txt', 'Apocalipsis_12_esp_rva.txt', 'Apocalipsis_12_esp_a.txt']","['Apocalipsis_12_xtm.txt', 'Apocalipsis_12_mza.txt', 'Apocalipsis_12_mxv.txt', 'Apocalipsis_12_mpm.txt', 'Apocalipsis_12_mks.txt', 'Apocalipsis_12_mjc.txt', 'Apocalipsis_12_miy.txt', 'Apocalipsis_12_mit.txt', 'Apocalipsis_12_mio.txt', 'Apocalipsis_12_mih.txt', 'Apocalipsis_12_mie.txt']"
"['Apocalipsis_13_IJSUD.txt', 'Apocalipsis_13_esp_rva.txt', 'Apocalipsis_13_esp_a.txt']","['Apocalipsis_13_xtm.txt', 'Apocalipsis_13_mza.txt', 'Apocalipsis_13_mxv.txt', 'Apocalipsis_13_mpm.txt', 'Apocalipsis_13_mks.txt', 'Apocalipsis_13_mjc.txt', 'Apocalipsis_13_miy.txt', 'Apocalipsis_13_mit.txt', 'Apocalipsis_13_mio.txt', 'Apocalipsis_13_mih.txt', 'Apocalipsis_13_mie.txt']"
"['Apocalipsis_14_IJSUD.txt', 'Apocalipsis_14_esp_rva.txt', 'Apocalipsis_14_esp_a.txt']","['Apocalipsis_14_xtm.txt', 'Apocalipsis_14_mza.txt', 'Apocalipsis_14_mxv.txt', 'Apocalipsis_14_mpm.txt', 'Apocalipsis_14_mks.txt', 'Apocalipsis_14_mjc.txt', 'Apocalipsis_14_miy.txt', 'Apocalipsis_14_mit.txt', 'Apocalipsis_14_mio.txt', 'Apocalipsis_14_mih.txt', 'Apocalipsis_14_mie.txt']"
"['Apocalipsis_15_IJSUD.txt', 'Apocalipsis_15_esp_rva.txt', 'Apocalipsis_15_esp_a.txt']","['Apocalipsis_15_xtm.txt', 'Apocalipsis_15_mza.txt', 'Apocalipsis_15_mxv.txt', 'Apocalipsis_15_mpm.txt', 'Apocalipsis_15_mks.txt', 'Apocalipsis_15_mjc.txt', 'Apocalipsis_15_miy.txt', 'Apocalipsis_15_mit.txt', 'Apocalipsis_15_mio.txt', 'Apocalipsis_15_mih.txt', 'Apocalipsis_15_mie.txt']"
"['Apocalipsis_16_IJSUD.txt', 'Apocalipsis_16_esp_rva.txt', 'Apocalipsis_16_esp_a.txt']","['Apocalipsis_16_xtm.txt', 'Apocalipsis_16_mza.txt', 'Apocalipsis_16_mxv.txt', 'Apocalipsis_16_mpm.txt', 'Apocalipsis_16_mks.txt', 'Apocalipsis_16_mjc.txt', 'Apocalipsis_16_miy.txt', 'Apocalipsis_16_mit.txt', 'Apocalipsis_16_mio.txt', 'Apocalipsis_16_mih.txt', 'Apocalipsis_16_mie.txt']"
"['Apocalipsis_17_IJSUD.txt', 'Apocalipsis_17_esp_rva.txt', 'Apocalipsis_17_esp_a.txt']","['Apocalipsis_17_xtm.txt', 'Apocalipsis_17_mza.txt', 'Apocalipsis_17_mxv.txt', 'Apocalipsis_17_mpm.txt', 'Apocalipsis_17_mks.txt', 'Apocalipsis_17_mjc.txt', 'Apocalipsis_17_miy.txt', 'Apocalipsis_17_mit.txt', 'Apocalipsis_17_mio.txt', 'Apocalipsis_17_mih.txt', 'Apocalipsis_17_mie.txt']"
"['Apocalipsis_18_IJSUD.txt', 'Apocalipsis_18_esp_rva.txt', 'Apocalipsis_18_esp_a.txt']","['Apocalipsis_18_xtm.txt', 'Apocalipsis_18_mza.txt', 'Apocalipsis_18_mxv.txt', 'Apocalipsis_18_mpm.txt', 'Apocalipsis_18_mks.txt', 'Apocalipsis_18_mjc.txt', 'Apocalipsis_18_miy.txt', 'Apocalipsis_18_mit.txt', 'Apocalipsis_18_mio.txt', 'Apocalipsis_18_mih.txt', 'Apocalipsis_18_mie.txt']"
"['Apocalipsis_19_IJSUD.txt', 'Apocalipsis_19_esp_rva.txt', 'Apocalipsis_19_esp_a.txt']","['Apocalipsis_19_xtm.txt', 'Apocalipsis_19_mza.txt', 'Apocalipsis_19_mxv.txt', 'Apocalipsis_19_mpm.txt', 'Apocalipsis_19_mks.txt', 'Apocalipsis_19_mjc.txt', 'Apocalipsis_19_miy.txt', 'Apocalipsis_19_mit.txt', 'Apocalipsis_19_mio.txt', 'Apocalipsis_19_mih.txt', 'Apocalipsis_19_mie.txt']"
"['Apocalipsis_1_esp_rva.txt', 'Apocalipsis_1_esp_a.txt']","['Apocalipsis_1_xtm.txt', 'Apocalipsis_1_mza.txt', 'Apocalipsis_1_mxv.txt', 'Apocalipsis_1_mpm.txt', 'Apocalipsis_1_mks.txt', 'Apocalipsis_1_mjc.txt', 'Apocalipsis_1_miy.txt', 'Apocalipsis_1_mit.txt', 'Apocalipsis_1_mio.txt', 'Apocalipsis_1_mih.txt', 'Apocalipsis_1_mie.txt']"
"['Apocalipsis_20_IJSUD.txt', 'Apocalipsis_20_esp_rva.txt', 'Apocalipsis_20_esp_a.txt']","['Apocalipsis_20_xtm.txt', 'Apocalipsis_20_mza.txt', 'Apocalipsis_20_mxv.txt', 'Apocalipsis_20_mpm.txt', 'Apocalipsis_20_mks.txt', 'Apocalipsis_20_mjc.txt', 'Apocalipsis_20_miy.txt', 'Apocalipsis_20_mit.txt', 'Apocalipsis_20_mio.txt', 'Apocalipsis_20_mih.txt', 'Apocalipsis_20_mie.txt']"
"['Apocalipsis_21_IJSUD.txt', 'Apocalipsis_21_esp_rva.txt', 'Apocalipsis_21_esp_a.txt']","['Apocalipsis_21_xtm.txt', 'Apocalipsis_21_mza.txt', 'Apocalipsis_21_mxv.txt', 'Apocalipsis_21_mpm.txt', 'Apocalipsis_21_mks.txt', 'Apocalipsis_21_mjc.txt', 'Apocalipsis_21_miy.txt', 'Apocalipsis_21_mit.txt', 'Apocalipsis_21_mio.txt', 'Apocalipsis_21_mih.txt', 'Apocalipsis_21_mie.txt']"
"['Apocalipsis_22_IJSUD.txt', 'Apocalipsis_22_esp_rva.txt', 'Apocalipsis_22_esp_a.txt']","['Apocalipsis_22_xtm.txt', 'Apocalipsis_22_mza.txt', 'Apocalipsis_22_mxv.txt', 'Apocalipsis_22_mpm.txt', 'Apocalipsis_22_mks.txt', 'Apocalipsis_22_mjc.txt', 'Apocalipsis_22_miy.txt', 'Apocalipsis_22_mit.txt', 'Apocalipsis_22_mio.txt', 'Apocalipsis_22_mih.txt', 'Apocalipsis_22_mie.txt']"
"['Apocalipsis_2_IJSUD.txt', 'Apocalipsis_2_esp_rva.txt', 'Apocalipsis_2_esp_a.txt']","['Apocalipsis_2_xtm.txt', 'Apocalipsis_2_mza.txt', 'Apocalipsis_2_mxv.txt', 'Apocalipsis_2_mpm.txt', 'Apocalipsis_2_mks.txt', 'Apocalipsis_2_mjc.txt', 'Apocalipsis_2_miy.txt', 'Apocalipsis_2_mit.txt', 'Apocalipsis_2_mio.txt', 'Apocalipsis_2_mih.txt', 'Apocalipsis_2_mie.txt']"
"['Apocalipsis_3_IJSUD.txt', 'Apocalipsis_3_esp_rva.txt', 'Apocalipsis_3_esp_a.txt']","['Apocalipsis_3_xtm.txt', 'Apocalipsis_3_mza.txt', 'Apocalipsis_3_mxv.txt', 'Apocalipsis_3_mpm.txt', 'Apocalipsis_3_mks.txt', 'Apocalipsis_3_mjc.txt', 'Apocalipsis_3_miy.txt', 'Apocalipsis_3_mit.txt', 'Apocalipsis_3_mio.txt', 'Apocalipsis_3_mih.txt', 'Apocalipsis_3_mie.txt']"
"['Apocalipsis_4_IJSUD.txt', 'Apocalipsis_4_esp_rva.txt', 'Apocalipsis_4_esp_a.txt']","['Apocalipsis_4_xtm.txt', 'Apocalipsis_4_mza.txt', 'Apocalipsis_4_mxv.txt', 'Apocalipsis_4_mpm.txt', 'Apocalipsis_4_mks.txt', 'Apocalipsis_4_mjc.txt', 'Apocalipsis_4_miy.txt', 'Apocalipsis_4_mit.txt', 'Apocalipsis_4_mio.txt', 'Apocalipsis_4_mih.txt', 'Apocalipsis_4_mie.txt']"
"['Apocalipsis_5_IJSUD.txt', 'Apocalipsis_5_esp_rva.txt', 'Apocalipsis_5_esp_a.txt']","['Apocalipsis_5_xtm.txt', 'Apocalipsis_5_mza.txt', 'Apocalipsis_5_mxv.txt', 'Apocalipsis_5_mpm.txt', 'Apocalipsis_5_mks.txt', 'Apocalipsis_5_mjc.txt', 'Apocalipsis_5_miy.txt', 'Apocalipsis_5_mit.txt', 'Apocalipsis_5_mio.txt', 'Apocalipsis_5_mih.txt', 'Apocalipsis_5_mie.txt']"
"['Apocalipsis_6_IJSUD.txt', 'Apocalipsis_6_esp_rva.txt', 'Apocalipsis_6_esp_a.txt']","['Apocalipsis_6_xtm.txt', 'Apocalipsis_6_mza.txt', 'Apocalipsis_6_mxv.txt', 'Apocalipsis_6_mpm.txt', 'Apocalipsis_6_mks.txt', 'Apocalipsis_6_mjc.txt', 'Apocalipsis_6_miy.txt', 'Apocalipsis_6_mit.txt', 'Apocalipsis_6_mio.txt', 'Apocalipsis_6_mih.txt', 'Apocalipsis_6_mie.txt']"
"['Apocalipsis_7_maj.txt', 'Apocalipsis_7_maa.txt', 'Apocalipsis_7_IJSUD.txt', 'Apocalipsis_7_esp_rva.txt', 'Apocalipsis_7_esp_a.txt']","['Apocalipsis_7_xtm.txt', 'Apocalipsis_7_mza.txt', 'Apocalipsis_7_mxv.txt', 'Apocalipsis_7_mpm.txt', 'Apocalipsis_7_mks.txt', 'Apocalipsis_7_mjc.txt', 'Apocalipsis_7_miy.txt', 'Apocalipsis_7_mit.txt', 'Apocalipsis_7_mio.txt', 'Apocalipsis_7_mih.txt', 'Apocalipsis_7_mie.txt']"
"['Apocalipsis_8_IJSUD.txt', 'Apocalipsis_8_esp_rva.txt', 'Apocalipsis_8_esp_a.txt']","['Apocalipsis_8_xtm.txt', 'Apocalipsis_8_mza.txt', 'Apocalipsis_8_mxv.txt', 'Apocalipsis_8_mpm.txt', 'Apocalipsis_8_mks.txt', 'Apocalipsis_8_mjc.txt', 'Apocalipsis_8_miy.txt', 'Apocalipsis_8_mit.txt', 'Apocalipsis_8_mio.txt', 'Apocalipsis_8_mih.txt', 'Apocalipsis_8_mie.txt']"
"['Apocalipsis_9_IJSUD.txt', 'Apocalipsis_9_esp_rva.txt', 'Apocalipsis_9_esp_a.txt']","['Apocalipsis_9_xtm.txt', 'Apocalipsis_9_mza.txt', 'Apocalipsis_9_mxv.txt', 'Apocalipsis_9_mpm.txt', 'Apocalipsis_9_mks.txt', 'Apocalipsis_9_mjc.txt', 'Apocalipsis_9_miy.txt', 'Apocalipsis_9_mit.txt', 'Apocalipsis_9_mio.txt', 'Apocalipsis_9_mih.txt', 'Apocalipsis_9_mie.txt']"
['Bichos_Coicoyan_de_las_flores_ES.txt'],['Bichos_Coicoyan_de_las_flores_MX.txt']
['Bichos_San_Juan_mixtepec_ES.txt'],['Bichos_San_Juan_mixtepec_MX.txt']
['Bichos_Santiago_Amoltepec_ES.txt'],['Bichos_Santiago_Amoltepec_MX.txt']
['Busca_al_gato.ES.txt'],['Busca_al_gato.MX.txt']
['Campaña_nacional_contra_el_bocio_ES.txt'],['Campaña_nacional_contra_el_bocio_MX.txt']
"['Colosenses_1_IJSUD.txt', 'Colosenses_1_esp_rva.txt', 'Colosenses_1_esp_a.txt']","['Colosenses_1_xtm.txt', 'Colosenses_1_mza.txt', 'Colosenses_1_mxv.txt', 'Colosenses_1_mpm.txt', 'Colosenses_1_mks.txt', 'Colosenses_1_mjc.txt', 'Colosenses_1_miy.txt', 'Colosenses_1_mit.txt', 'Colosenses_1_mio.txt', 'Colosenses_1_mih.txt', 'Colosenses_1_mie.txt']"
"['Colosenses_2_IJSUD.txt', 'Colosenses_2_esp_rva.txt', 'Colosenses_2_esp_a.txt']","['Colosenses_2_xtm.txt', 'Colosenses_2_mza.txt', 'Colosenses_2_mxv.txt', 'Colosenses_2_mpm.txt', 'Colosenses_2_mks.txt', 'Colosenses_2_mjc.txt', 'Colosenses_2_mit.txt', 'Colosenses_2_mio.txt', 'Colosenses_2_mih.txt', 'Colosenses_2_mie.txt']"
"['Colosenses_3_IJSUD.txt', 'Colosenses_3_esp_rva.txt', 'Colosenses_3_esp_a.txt']","['Colosenses_3_xtm.txt', 'Colosenses_3_mza.txt', 'Colosenses_3_mxv.txt', 'Colosenses_3_mpm.txt', 'Colosenses_3_mks.txt', 'Colosenses_3_mjc.txt', 'Colosenses_3_miy.txt', 'Colosenses_3_mit.txt', 'Colosenses_3_mio.txt', 'Colosenses_3_mih.txt', 'Colosenses_3_mie.txt']"
"['Colosenses_4_IJSUD.txt', 'Colosenses_4_esp_rva.txt', 'Colosenses_4_esp_a.txt']","['Colosenses_4_xtm.txt', 'Colosenses_4_mza.txt', 'Colosenses_4_mxv.txt', 'Colosenses_4_mpm.txt', 'Colosenses_4_mks.txt', 'Colosenses_4_mjc.txt', 'Colosenses_4_miy.txt', 'Colosenses_4_mit.txt', 'Colosenses_4_mio.txt', 'Colosenses_4_mih.txt', 'Colosenses_4_mie.txt']"
['Como_curar_algunas_enfermedades_ES.txt'],['Como_curar_algunas_enfermedades_MX.txt']
['Como_hacer_la_comida_ES.txt'],['Como_hacer_la_comida_MX.txt']
['Como_leer_en_mixteco_ES.txt'],['Como_leer_en_mixteco_MX.txt']
['Como_pasear_en_Mexico_ES.txt'],['Como_pasear_en_Mexico_MX.txt']
['Como_se_hacen_las_tortillas_ES.txt'],['Como_se_hacen_las_tortillas_MX.txt']
['Costumbres_del_matrimonio_ES.txt'],['Costumbres_del_matrimonio_MX.txt']
['Costumbres_mixtecas_ES.txt'],['Costumbres_mixtecas_MX.txt']
['Creencias_de_Jicayan_ES.txt'],['Creencias_de_Jicayan_MX.txt']
['Cuadernos_de_lenaguas_indigenas_ES.txt'],['Cuadernos_de_lenaguas_indigenas_MX.txt']
['Cuendu_ñanga_ES.txt'],['Cuendu_ñanga_MX.txt']
['Cuento_de_los_animales_grandes_ES.txt'],['Cuento_de_los_animales_grandes_MX.txt']
['Cuento_de_los_hombres_que_les_gusta_cazar_ES.txt'],['Cuento_de_los_hombres_que_les_gusta_cazar_MX.txt']
['Cuento_de_un_marrano_y_un_burro_ES.txt'],['Cuento_de_un_marrano_y_un_burro_MX.txt']
['Cuento_de_un_niño_y_un_leon_ES.txt'],['Cuento_de_un_niño_y_un_leon_MX.txt']
